Athlete,Organization,Sport,Location,League,Injury,Expected duration,Financial impact ($),Financial impact (calculation),Team/game impact,Date reported,Source,Source URL
Napheesa Collier,Minnesota Lynx (WNBA),Basketball,"Minneapolis, Minnesota",WNBA,Offseason surgery on both ankles,Has yet to play in the 2026 season; recently resumed practicing,11507,prorated sunk cost (annual salary ~$1.4M per Spotrac ÷ 365 × 3 days out),Lynx have been without their All-Star forward for the entire season to date,2026-07-06,Northwest Arkansas Democrat-Gazette - Injuries taking toll throughout WNBA,https://www.nwaonline.com/news/2026/jul/07/injuries-taking-toll-throughout-wnba/
Lexi Thompson,LPGA Tour,Golf,"N/A — individual tour athlete, no fixed team location",LPGA Tour,Persistent hip pain/suspected hip injury,"Withdrew from the KPMG Women's PGA Championship at Hazeltine National, after also sitting out the Meijer LPGA Classic with the same issue; no return timeline given",,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $13M total tournament prize purse for the 2026 KPMG Women's PGA Championship at Hazeltine National (per Golf Channel/GolfDigest).","Ends a 15-tournament appearance streak at the Women's PGA Championship, a run that included four career top-10 finishes; Carolina Chacarra took her place in the field",2026-07-06,Golf Digest - Lexi Thompson withdraws from KPMG Women's PGA Championship,https://www.golfdigest.com/story/lexi-thompson-withdraws-kpmg-womens-pga-championship
Jonah Cox,San Francisco Giants (MLB),Baseball,"San Francisco, California",MLB,Left oblique strain,"Placed on the 10-day injured list, retroactive to July 6; expected return in the second half of the season",8219,"prorated sunk cost (annual salary ~$300,000 per Spotrac ÷ 365 × 10 days out)",Giants lose an outfielder for at least the minimum IL stint,2026-07-06,MLB.com - Latest Giants injuries & transactions,https://www.mlb.com/news/giants-injuries-and-roster-moves
Byron Buxton,Minnesota Twins (MLB),Baseball,"Minneapolis, Minnesota",MLB,Aggravated hip injury while being caught stealing in the 1st inning vs. Yankees,Day-to-day; had already missed 4 games earlier in the week with the same hip issue,123288,prorated sunk cost (annual salary ~$15.00M per Spotrac ÷ 365 × 3 days out),Twins lose their 2026 All-Star outfielder from the lineup for an undetermined stretch,2026-07-05,"Yardbarker - 2026 Injury Report: Updates on Buxton, Suarez, Chisholm Jr.",https://www.yardbarker.com/mlb/articles/2026_injury_report_updates_on_buxton_suarez_chisholm_jr/s1_17653_44031703
Jazz Chisholm Jr.,New York Yankees (MLB),Baseball,"Bronx, New York",MLB,"Right toe discomfort, noticed jogging gingerly to first base after a fly out",Being monitored day-to-day; no IL move confirmed yet,83836,prorated sunk cost (annual salary ~$10.20M per Spotrac ÷ 365 × 3 days out),Risk of losing Yankees' starting second baseman if it worsens,2026-07-05,"Yardbarker - 2026 Injury Report: Updates on Buxton, Suarez, Chisholm Jr.",https://www.yardbarker.com/mlb/articles/2026_injury_report_updates_on_buxton_suarez_chisholm_jr/s1_17653_44031703
Ranger Suarez,Philadelphia Phillies (MLB),Baseball,"Philadelphia, Pennsylvania",MLB,"Left adductor tightness, pulled early from start vs. Angels","Undetermined, pending further evaluation",95890,prorated sunk cost (annual salary ~$7.00M per Spotrac ÷ 365 × 5 days out),Phillies could lose their 2026 AL All-Star-caliber starter from the rotation,2026-07-05,"Yardbarker - 2026 Injury Report: Updates on Buxton, Suarez, Chisholm Jr.",https://www.yardbarker.com/mlb/articles/2026_injury_report_updates_on_buxton_suarez_chisholm_jr/s1_17653_44031703
Brandon Woodruff,Milwaukee Brewers (MLB),Baseball,"Milwaukee, Wisconsin",MLB,Right shoulder inflammation,Placed on 15-day Injured List (minimum),905137,prorated sunk cost (annual salary ~$22.02M per Spotrac ÷ 365 × 15 days out),Brewers rotation loses a top starter for at least two full turns,2026-07-05,Covers - MLB Injuries 2026,https://www.covers.com/sport/baseball/mlb/injuries
Triston Casas,Boston Red Sox (MLB),Baseball,"Boston, Massachusetts",MLB,Torn right patellar tendon (out since May); recently shut down from hitting progression,Likely season-ending; setback in rehab timeline,374932,prorated sunk cost (annual salary ~$1.61M per Spotrac ÷ 365 × 85 days out),Red Sox lose starting first baseman for the remainder of the 2026 season,2026-07-05,"Yardbarker - 2026 Injury Report: Updates on Buxton, Suarez, Chisholm Jr.",https://www.yardbarker.com/mlb/articles/2026_injury_report_updates_on_buxton_suarez_chisholm_jr/s1_17653_44031703
Olivia Miles,Minnesota Lynx (WNBA),Basketball,"Minneapolis, Minnesota",WNBA,"Calf strain suffered during a July 3 game vs. the New York Liberty, possibly linked to in-game cramping","Ruled out of the Lynx's game vs. Connecticut on July 6, the first game of her WNBA career she has missed; no firm timetable given, though signs point to a quick recovery",3838,"prorated sunk cost (annual salary ~$466,913 per Spotrac/On3 ÷ 365 × 3 days out) [assumption: day-to-day, signs point to quick recovery]","Costly absence for a Lynx team leaning on its rookie floor general; came a day after Miles was named a starter for the 2026 WNBA All-Star Game and while she remains a near-lock for Rookie of the Year (18.5 ppg, 4.8 rpg, 5.7 apg)",2026-07-05,ESPN - Olivia Miles sidelined Monday against Sun with calf injury,https://www.espn.com/wnba/story/_/id/49287945/olivia-miles-sidelined-monday-sun-calf-injury
Serena Williams,WTA Tour,Tennis,"N/A — individual tour athlete, no fixed team location",WTA Tour,Right knee injury tweaked at the end of the first set of her Wimbledon singles match against Maya Joint; postmatch video showed four syringes of fluid drained from the knee,Withdrew from the Wimbledon doubles draw alongside sister Venus Williams; no return timeline given,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): £64.2M (~$86.1M) total 2026 Wimbledon Championships prize money (per CBS Sports/ATP Tour) — she withdrew from the doubles draw specifically, not the whole event's purse.","Ends a highly anticipated comeback pairing with Venus Williams in doubles, coming during Serena's first singles match in nearly four years",2026-07-04,NBC News - Serena Williams withdraws from Wimbledon doubles competition after knee injury,https://www.nbcnews.com/sports/tennis/serena-williams-withdraws-wimbledon-rcna352965
James Maddison,Tottenham Hotspur (Premier League),Soccer,"London, England",Premier League,ACL reconstruction rehab (returning from tear),Ongoing; currently restricted to 20-25 minutes per match,162268,prorated sunk cost (annual salary ~$11.85M per Capology (GBP→USD @1.34) ÷ 365 × 5 days out),"Spurs managing his minutes carefully, limiting his impact as a starter",2026-07-02,Premier League club injury coverage,https://www.premierleague.com/en/latest-player-injuries
Seamus Power,PGA Tour,Golf,"N/A — individual tour athlete, no fixed team location",PGA Tour,Recurrence of long-standing back and hip issues he has dealt with since 2023,Withdrew after an opening-round 6-over 77 at the John Deere Classic on July 2; no return timeline given,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $8.8M total tournament prize purse for the 2026 John Deere Classic (per Golf Channel/PGA Tour).",Removes a two-time PGA Tour winner from the field partway through the event,2026-07-02,Golfmagic - Two-time PGA Tour winner forced out of John Deere Classic as injury problems strike again,https://www.golfmagic.com/tour/pga-tour/two-time-pga-tour-winner-forced-out-john-deere-classic-injury-problems-strike-again
Nahikari Garcia,Denver Summit FC (NWSL),Soccer,"Denver, Colorado",NWSL,Season-ending knee (ACL) injury,Out for the remainder of the 2026 NWSL season,,Not disclosed — NWSL player salaries are confidential under the league/NWSLPA collective bargaining agreement and not publicly released,Denver Summit FC lose a starter for the rest of the season,2026-07-02,Spotrac - 2026 NWSL Injured Tracker,https://www.spotrac.com/nwsl/injured/_/year/2026
Patrick Rodgers,PGA Tour,Golf,"N/A — individual tour athlete, no fixed team location",PGA Tour,Back injury,Withdrew from the John Deere Classic prior to the first round on July 2; no recovery timeline disclosed,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $8.8M total tournament prize purse for the 2026 John Deere Classic (per Golf Channel).",Not disclosed in available reporting,2026-07-02,Golf Monthly - Pro Withdraws From John Deere Classic Hours Before First Round,https://www.golfmonthly.com/news/patrick-rodgers-withdraws-john-deere-classic-2026
Brandon Ingram,Toronto Raptors (NBA),Basketball,"Toronto, Ontario, Canada",NBA,Recovering from offseason surgery (lower body),"Expected back for training camp, fall 2026",9424658,prorated sunk cost (annual salary ~$40.00M per Spotrac ÷ 365 × 86 days out),Raptors plan around his absence through the offseason program,2026-07-01,Bleacher Report - Brandon Ingram Injury Update Provided by Raptors After Surgery,https://bleacherreport.com/articles/25426220-brandon-ingram-injury-update-provided-raptors-after-surgery-latest-timeline-2026-nba-season
Josh Giddey,Chicago Bulls (NBA),Basketball,"Chicago, Illinois",NBA,Arthroscopic surgery on right ankle,~3 months to resume basketball activities; targeting training camp,6164384,prorated sunk cost (annual salary ~$25.00M per Spotrac ÷ 365 × 90 days out),Bulls lose a starting guard for the entire offseason program,2026-07-01,Bleacher Report - Josh Giddey Injury Update Provided by Bulls After Ankle Surgery,https://bleacherreport.com/articles/25427505-josh-giddey-injury-update-provided-bulls-after-ankle-surgery-latest-timeline-2026-nba-season
Corey Seager,Texas Rangers (MLB),Baseball,"Arlington, Texas",MLB,Recurrence of lower back inflammation; his third injured list stint of the 2026 season (previously missed time with the same back issue and with a concussion),Placed on the 10-day injured list,849315,prorated sunk cost (annual salary ~$31.00M per Spotrac ÷ 365 × 10 days out),"Rangers lose their star shortstop again, continuing a season of infield instability; Josh Smith recalled from Triple-A as replacement",2026-07-01,ESPN - Rangers' Corey Seager back on IL with lower back inflammation,https://www.espn.com/mlb/story/_/id/49238350/rangers-corey-seager-back-il-lower-back-inflammation
Brent Rooker,Athletics (MLB),Baseball,"West Sacramento, California (Sutter Health Park; relocating to Las Vegas)",MLB,"Cartilage tear in left knee, discovered during an examination at Stanford; requires season-ending surgery",Season-ending; hadn't played since June 8 and had been on the injured list since June 9,1463014,prorated sunk cost (annual salary ~$6.00M per Spotrac ÷ 365 × 89 days out),Athletics lose their two-time All-Star middle-of-the-order bat for the remainder of the 2026 season,2026-07-01,ESPN - A's slugger Brent Rooker to have season-ending left knee surgery,https://www.espn.com/mlb/story/_/id/49244022/a-slugger-brent-rooker-season-ending-left-knee-surgery
JuJu Watkins,USC Trojans (NCAA Division I Women's Basketball),Basketball,"Los Angeles, California",NCAA Division I Women's Basketball,Recovering from a torn ACL that cost her the entire 2025-26 season,Returned to the court roughly 14 months after the injury,,"Not applicable — NCAA athlete, no fixed salary",USC gets back its star guard after a full season lost to the injury,2026-07-01,Fox Sports - 2026-2027 College Basketball Offseason Buzz,https://www.foxsports.com/stories/college-basketball/college-basketball-2026-2027-buzz-news-injuries-transfers
Donnie Freeman,St. John's University (NCAA Division I Men's Basketball),Basketball,"Queens, New York",NCAA Division I Men's Basketball,"Torn right Achilles tendon, a non-contact injury suffered during a summer workout; underwent successful surgery performed by Dr. Martin O'Malley",Will miss the entire 2026-27 season,,"Not applicable — NCAA athlete, no fixed salary","Major setback for coach Rick Pitino and St. John's, who added the rising junior forward as a transfer-portal pickup this offseason; Freeman averaged 16.5 points and 7.2 rebounds last season at Syracuse",2026-07-01,The Washington Post - St. John's Donnie Freeman to miss next season following surgery on Achilles tendon,https://www.washingtonpost.com/sports/colleges/2026/07/01/st-johns-donnie-freeman-achilles-injury-pitino/81e54c60-75c4-11f1-b665-5f8be87f3787_story.html
Cole Ragans,Kansas City Royals (MLB),Baseball,"Kansas City, Missouri",MLB,Left elbow UCL tear,Underwent UCL repair surgery July 1; 10-12 month recovery timeline,4068493,"prorated sunk cost (annual salary ~$4.5M per Spotrac ÷ 365 × 330 days out; 10-12 month recovery timeline, midpoint of 11 months used)",Royals lose their staff ace for the remainder of 2026 and into 2027,2026-07-01,CBS Sports - Kansas City Royals Injury Report and Status 2026,https://www.cbssports.com/mlb/teams/KC/kansas-city-royals/injuries/
Jaren Jackson Jr.,Memphis Grizzlies (NBA),Basketball,"Memphis, Tennessee",NBA,Turf toe surgery (right foot),Re-evaluation in approximately 12 weeks,10632329,prorated sunk cost (annual salary ~$46.20M per Spotrac ÷ 365 × 84 days out),Grizzlies lose their All-Star big man through the offseason and possibly into training camp,2026-06-30,NBA.com - Grizzlies' Jaren Jackson Jr. has surgery to repair turf toe injury,https://www.nba.com/news/memphis-grizzlies-jaren-jackson-jr-turf-toe-surgery
Manuel Ugarte,Manchester United (Premier League) / Uruguay National Team,Soccer,"Manchester, England",Premier League,Knee ligament injury suffered vs. Spain at the World Cup; possible cruciate ligament (ACL) damage,Potentially several months if ACL is confirmed,2749019,prorated sunk cost (annual salary ~$8.36M per Capology (GBP→USD @1.34) ÷ 365 × 120 days out),Would be a significant blow to Manchester United's midfield depth heading into 2026-27,2026-06-28,Premier League club injury coverage,https://www.premierleague.com/en/latest-player-injuries
Rodri,Manchester City (Premier League),Soccer,"Manchester, England",Premier League,Undisclosed injury expected to require surgery after the World Cup,Out for the opening weeks of the 2026-27 season,881977,prorated sunk cost (annual salary ~$15.33M per Capology (GBP→USD @1.34) ÷ 365 × 21 days out),Manchester City to start the new season without their midfield anchor,2026-06-27,Premier League club injury coverage,https://www.premierleague.com/en/latest-player-injuries
Kelsey Plum,Los Angeles Sparks (WNBA),Basketball,"Los Angeles, California",WNBA,Lower leg injury,Ruled out for at least 4 weeks as of late June; All-Star Game (July 25) status still to be decided,76712,"prorated sunk cost (annual salary ~$999,999 per Spotrac ÷ 365 × 28 days out)",Sparks lose a starting guard through their All-Star break stretch,2026-06-27,"Bleacher Report - Angel Reese, Kelsey Plum Headline 2026 WNBA All-Star Game Reserves",https://bleacherreport.com/articles/25452286-angel-reese-kelsey-plum-headline-2026-wnba-all-star-game-reserves-full-roster-announced
Seth Jarvis,Carolina Hurricanes (NHL),Hockey,"Raleigh, North Carolina",NHL,"Shoulder surgery, the same shoulder that had a torn labrum and rotator cuff during the 2023-24 season","Expected recovery of approximately 4-6 months, meaning the earliest return would be late October",3246575,prorated sunk cost (annual salary ~$7.9M AAV per Spotrac ÷ 365 × 150 days out),Hurricanes will be without a top-six forward for the start of the 2026-27 season,2026-06-27,NHL.com - Jarvis expected to miss start of next season for Hurricanes after shoulder surgery,https://www.nhl.com/news/seth-jarvis-to-miss-beginning-of-2026-2027-season-for-hurricanes-after-shoulder-surgery
Bradley Beal,LA Clippers (NBA),Basketball,"Inglewood (Los Angeles), California",NBA,Hip fracture requiring season-ending surgery,Season-ending; recovery expected to extend into 2026-27 preseason,1416976,prorated sunk cost (annual salary ~$5.62M per Spotrac ÷ 365 × 92 days out),Clippers lose a veteran guard for the balance of the season and into next year's planning,2026-06-25,NBA.com - Clippers' Bradley Beal (hip) to undergo season-ending surgery,https://www.nba.com/news/clippers-bradley-beal-out-season-hip-fracture
Bejlek,WTA Tour,Tennis,"N/A — individual tour athlete, no fixed team location",WTA Tour,Elbow injury,Withdrew mid-tournament from Eastbourne,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $499,000 total tournament prize purse for the 2026 Lexus Eastbourne Open (WTA 250) (per LTA/WTA reporting).",Opponent Zeynep Sonmez advances by walkover,2026-06-24,RotoWire - Fantasy Tennis Injury News,https://www.rotowire.com/tennis/news.php?view=injuries
Matthijs de Ligt,Manchester United (Premier League),Soccer,"Manchester, England",Premier League,Surgery on a long-standing back injury,Will miss the 2026 World Cup; club return timeline unconfirmed,185397,prorated sunk cost (annual salary ~$13.53M per Capology (GBP→USD @1.34) ÷ 365 × 5 days out),United lose a starting center-back for an extended stretch,2026-06-20,Premier League club injury coverage,https://www.premierleague.com/en/latest-player-injuries
Elina Svitolina,WTA Tour,Tennis,"N/A — individual tour athlete, no fixed team location",WTA Tour,Hip injury,Withdrew before her Bad Homburg quarterfinal,,"Not disclosed in available reporting — no specific prize money forfeiture figure found Potential prize money at stake (ceiling, not a claim of what the athlete would have won): $1.2M total tournament prize purse ($1,206,446 / €1,049,083) for the 2026 Bad Homburg Open (per Perfect Tennis/WTA).",Opponent Xinyu Wang advances by walkover,2026-06-20,RotoWire - Fantasy Tennis Injury News,https://www.rotowire.com/tennis/news.php?view=injuries
Chris Richards,Crystal Palace (Premier League) / USMNT,Soccer,"London, England",Premier League,Torn ankle ligaments (two ligaments) suffered vs. Brentford,Expected to recover in time for the 2026 World Cup,52499,prorated sunk cost (annual salary ~$3.83M per Capology (GBP→USD @1.34) ÷ 365 × 5 days out),Crystal Palace lose a starting center-back for a multi-week stretch,2026-06-15,Premier League club injury coverage,https://www.premierleague.com/en/latest-player-injuries
Chloe Ricketts,Boston Legacy FC (NWSL),Soccer,"Boston, Massachusetts",NWSL,Ankle injury,Placed on the 45-day short-term injury list,,Not disclosed — NWSL player salaries are confidential under the league/NWSLPA collective bargaining agreement and not publicly released,Boston Legacy FC without a rostered defender for at least 45 days,2026-06-15,Washington Spirit / NWSL transactions coverage,https://www.spotrac.com/nwsl/injured/_/year/2026
